id,team,country,league,season_start,season_end,final_league_pos,home_matches,home_wins,home_draws,home_losses,home_win_rate,home_draw_rate,home_loss_rate,home_points_per_match,home_goals_for,home_goals_for_per_90,home_goals_against,home_goals_against_per_90,home_xg,home_xg_avg,away_matches,away_wins,away_draws,away_losses,away_win_rate,away_draw_rate,away_loss_rate,away_points_per_match,away_goals_for,away_goals_for_per_90,away_goals_against,away_goals_against_per_90,away_xg,away_xg_avg,home_penalties_won,home_penalties_conceded,away_penalties_won,away_penalties_conceded,home_fouls_won_avg,home_fouls_conceded_avg,home_yellow_cards_won,home_yellow_cards_conceded,home_red_cards_won,home_red_conceded,away_fouls_won_avg,away_fouls_conceded_avg,away_yellow_cards_won,away_yellow_cards_conceded,away_red_cards_won,away_red_cards_conceded
37,Genoa,it,Serie A,2014,2015,6,19,9,6,4,0.473684211,0.315789474,0.210526316,1.74,33,1.736842105,21,1.105263158,,,19,7,5,7,0.368421053,0.263157895,0.368421053,1.37,29,1.526315789,26,1.368421053,,,3,,4,,171.0526316,154.7368421,28.42105263,24.21052632,1.052631579,1.052631579,170.5263158,178.9473684,25.26315789,29.47368421,1.578947368,2.105263158
38,Elche,es,La Liga,2014,2015,13,19,6,3,10,0.315789474,0.157894737,0.526315789,1.11,19,1,31,1.631578947,,,19,5,5,9,0.263157895,0.263157895,0.473684211,1.05,16,0.842105263,31,1.631578947,,,5,,3,,134.7368421,154.2105263,20,28.42105263,1.052631579,1.578947368,132.1052632,153.1578947,22.63157895,25.26315789,1.578947368,1.578947368
39,Lazio,it,Serie A,2014,2015,3,19,12,1,6,0.631578947,0.052631579,0.315789474,1.95,40,2.105263158,18,0.947368421,,,19,9,5,5,0.473684211,0.263157895,0.263157895,1.68,31,1.631578947,20,1.052631579,,,1,,4,,124.7368421,177.3684211,24.21052632,23.68421053,2.631578947,2.631578947,127.3684211,179.4736842,21.57894737,31.05263158,1.052631579,2.105263158
40,Caen,fr,Ligue 1,2014,2015,13,19,7,3,9,0.368421053,0.157894737,0.473684211,1.26,26,1.368421053,25,1.315789474,,,19,5,7,7,0.263157895,0.368421053,0.368421053,1.16,28,1.473684211,30,1.578947368,,,5,,1,,120.5263158,114.2105263,16.31578947,10,0,1.578947368,105.7894737,121.0526316,10.52631579,12.63157895,0,1.578947368
41,Getafe,es,La Liga,2014,2015,15,19,6,5,8,0.315789474,0.263157895,0.421052632,1.21,16,0.842105263,22,1.157894737,,,19,4,2,13,0.210526316,0.105263158,0.684210526,0.74,17,0.894736842,42,2.210526316,,,2,,0,,130.5263158,144.2105263,26.84210526,25.26315789,1.052631579,0.526315789,135.2631579,140.5263158,23.15789474,23.68421053,1.052631579,1.578947368
42,Almería,es,La Liga,2014,2015,19,19,3,7,9,0.157894737,0.368421053,0.473684211,0.84,20,1.052631579,28,1.473684211,,,19,5,1,13,0.263157895,0.052631579,0.684210526,0.84,15,0.789473684,36,1.894736842,,,5,,1,,,,,,,,,,,,,
43,West Ham,eng,Premier League,2014,2015,12,19,9,4,6,0.473684211,0.210526316,0.315789474,1.63,25,1.315789474,18,0.947368421,,,19,3,7,9,0.157894737,0.368421053,0.473684211,0.84,19,1,29,1.526315789,,,2,,0,,130,107.3684211,18.94736842,17.36842105,3.157894737,0.526315789,101.5789474,113.6842105,11.57894737,16.31578947,0.526315789,0.526315789
44,Reims,fr,Ligue 1,2014,2015,15,19,8,3,8,0.421052632,0.157894737,0.421052632,1.42,24,1.263157895,29,1.526315789,,,19,4,5,10,0.210526316,0.263157895,0.526315789,0.89,23,1.210526316,37,1.947368421,,,2,,1,,144.7368421,138.4210526,16.84210526,17.89473684,1.578947368,0.526315789,129.4736842,147.8947368,14.21052632,22.10526316,0,1.578947368
45,Liverpool,eng,Premier League,2014,2015,6,19,10,5,4,0.526315789,0.263157895,0.210526316,1.84,30,1.578947368,20,1.052631579,,,19,8,3,8,0.421052632,0.157894737,0.421052632,1.42,22,1.157894737,28,1.473684211,,,4,,2,,134.2105263,100,22.63157895,15.26315789,1.052631579,1.052631579,122.6315789,102.6315789,19.47368421,19.47368421,1.052631579,0.526315789
46,Aston Villa,eng,Premier League,2014,2015,17,19,5,6,8,0.263157895,0.315789474,0.421052632,1.11,18,0.947368421,25,1.315789474,,,19,5,2,12,0.263157895,0.105263158,0.631578947,0.89,13,0.684210526,32,1.684210526,,,1,,0,,107.8947368,100.5263158,21.57894737,14.73684211,1.052631579,2.105263158,124.7368421,110,13.15789474,22.10526316,0.526315789,1.578947368
47,Sunderland,eng,Premier League,2014,2015,16,19,4,8,7,0.210526316,0.421052632,0.368421053,1.05,16,0.842105263,27,1.421052632,,,19,3,9,7,0.157894737,0.473684211,0.368421053,0.95,15,0.789473684,26,1.368421053,,,3,,1,,127.8947368,114.7368421,20,23.68421053,1.052631579,0.526315789,116.8421053,114.2105263,15.78947368,25.78947368,1.052631579,0.526315789
48,Sampdoria,it,Serie A,2014,2015,7,19,7,10,2,0.368421053,0.526315789,0.105263158,1.63,23,1.210526316,15,0.789473684,,,19,6,7,6,0.315789474,0.368421053,0.315789474,1.32,25,1.315789474,27,1.421052632,,,1,,1,,180.5263158,163.1578947,27.89473684,24.21052632,2.631578947,0.526315789,149.4736842,160,21.05263158,26.31578947,1.052631579,1.052631579
49,Atalanta,it,Serie A,2014,2015,17,19,4,7,8,0.210526316,0.368421053,0.421052632,1,22,1.157894737,33,1.736842105,,,19,3,9,7,0.157894737,0.473684211,0.368421053,0.95,16,0.842105263,24,1.263157895,,,4,,1,,183.6842105,161.5789474,27.36842105,25.78947368,1.052631579,3.684210526,152.1052632,169.4736842,22.63157895,28.42105263,0.526315789,1.052631579
50,Burnley,eng,Premier League,2014,2015,19,19,4,7,8,0.210526316,0.368421053,0.421052632,1,14,0.736842105,21,1.105263158,,,19,3,5,11,0.157894737,0.263157895,0.578947368,0.74,14,0.736842105,32,1.684210526,,,2,,1,,106.8421053,111.5789474,17.89473684,17.36842105,0,0,114.2105263,102.1052632,16.31578947,16.31578947,1.052631579,1.052631579
51,Levante,es,La Liga,2014,2015,14,19,6,6,7,0.315789474,0.315789474,0.368421053,1.26,20,1.052631579,30,1.578947368,,,19,3,4,12,0.157894737,0.210526316,0.631578947,0.68,14,0.736842105,37,1.947368421,,,3,,1,,146.3157895,157.3684211,30.52631579,27.89473684,1.578947368,1.052631579,123.1578947,135.7894737,19.47368421,28.42105263,0.526315789,0.526315789
52,Rayo Vallecano,es,La Liga,2014,2015,11,19,8,2,9,0.421052632,0.105263158,0.473684211,1.37,26,1.368421053,26,1.368421053,,,19,7,2,10,0.368421053,0.105263158,0.526315789,1.21,20,1.052631579,42,2.210526316,,,1,,2,,,,,,,,,,,,,
53,Granada,es,La Liga,2014,2015,17,19,4,10,5,0.210526316,0.526315789,0.263157895,1.16,13,0.684210526,17,0.894736842,,,19,3,4,12,0.157894737,0.210526316,0.631578947,0.68,16,0.842105263,47,2.473684211,,,3,,3,,128.4210526,146.3157895,28.42105263,27.89473684,2.631578947,1.052631579,142.1052632,154.7368421,23.15789474,30.52631579,1.578947368,1.578947368
54,Mainz 05,de,Bundesliga,2014,2015,11,17,6,6,5,0.352941176,0.352941176,0.294117647,1.41,27,1.588235294,19,1.117647059,,,17,3,7,7,0.176470588,0.411764706,0.411764706,0.94,18,1.058823529,28,1.647058824,,,3,,2,,,,,,,,,,,,,
55,Leicester City,eng,Premier League,2014,2015,14,19,7,5,7,0.368421053,0.263157895,0.368421053,1.37,28,1.473684211,22,1.157894737,,,19,4,3,12,0.210526316,0.157894737,0.631578947,0.79,18,0.947368421,33,1.736842105,,,4,,0,,,,,,,,,,,,,
